ISO,Country,Access to Drinking Water,Access to Sanitation,Industrial Pollution,Agricultural Pollution,Water Scarcity,Water Management,Total,PPP, 2030 GDP , 2030 Population ,2030 Water Demand (m3)
HUN,Hungary," $88,960,526 "," $67,721,064 "," $801,455,334 "," $60,815,416 ", $-   ," $203,790,468 "," $1,222,742,807 ",0.48," $245,149,720,751 ",9.43E+06,6.75E+09
IND,India," $9,644,126,005 "," $27,526,581,055 "," $669,639,993 "," $4,381,366,282 "," $48,764,854,513 "," $18,197,313,570 "," $109,183,881,417 ",0.26," $13,141,158,453,400 ",1.45E+09,9.59E+11
IDN,Indonesia," $3,385,802,771 "," $4,002,305,909 "," $2,593,866,792 "," $2,587,380,849 "," $8,231,945,128 "," $4,160,260,290 "," $24,961,561,739 ",0.30," $3,359,201,160,450 ",2.65E+08,1.28E+11
IRN,Iran," $1,422,491,527 "," $2,910,923,860 "," $143,847,784 "," $143,835,849 "," $5,348,815,176 "," $1,993,982,839 "," $11,963,897,035 ",0.28," $1,347,366,855,950 ",8.63E+07,1.06E+11
IRQ,Iraq," $2,054,732,530 "," $2,152,956,504 "," $1,914,018,512 "," $6,245,356 "," $6,893,895,221 "," $2,604,369,625 "," $15,626,217,748 ",0.31," $397,065,598,640 ",4.57E+07,7.17E+10
IRL,Ireland," $62,987,964 "," $87,235,328 "," $5,330,043 "," $209,709,077 "," $23,427,158 "," $77,737,914 "," $466,427,484 ",0.90," $248,234,244,505 ",5.45E+06,7.35E+08
ISR,Israel," $151,588,285 "," $178,075,991 "," $37,793,305 "," $30,636,016 "," $603,663,429 "," $200,351,405 "," $1,202,108,432 ",0.99," $315,504,261,356 ",8.49E+06,3.75E+09
ITA,Italy," $362,501,739 "," $394,312,115 "," $544,013,992 "," $939,222,188 "," $5,932,586,288 "," $1,634,527,264 "," $9,807,163,587 ",0.82," $2,067,951,751,340 ",6.19E+07,3.28E+10
CIV,Ivory Coast," $813,842,248 "," $896,769,204 "," $962,911,205 "," $115,075,014 "," $229,310,789 "," $603,581,692 "," $3,621,490,152 ",0.42," $143,914,837,842 ",2.39E+07,4.89E+09
JAM,Jamaica," $128,785,935 "," $63,841,199 "," $26,807,505 "," $21,151,519 "," $93,905,949 "," $66,898,421 "," $401,390,528 ",0.57," $26,745,042,365 ",2.70E+06,4.07E+08
JPN,Japan," $737,076,968 "," $659,697,340 "," $1,136,981,699 "," $1,376,559,959 "," $1,752,103,274 "," $1,132,483,848 "," $6,794,903,089 ",0.85," $4,943,813,187,440 ",1.20E+08,3.91E+10
JOR,Jordan," $198,909,513 "," $277,130,308 "," $16,551,733 "," $12,585,531 "," $249,440,479 "," $150,923,513 "," $905,541,076 ",0.45," $121,973,965,453 ",1.11E+07,2.43E+09
KAZ,Kazakhstan," $563,506,388 "," $377,360,996 "," $1,323,461,895 "," $341,280,164 "," $3,407,634,384 "," $1,202,648,765 "," $7,215,892,593 ",0.42," $526,675,344,205 ",1.78E+07,2.29E+10
KEN,Kenya," $754,863,291 "," $1,622,539,350 "," $20,411,676 "," $259,041,795 "," $45,899,625 "," $540,551,147 "," $3,243,306,884 ",0.45," $196,681,384,438 ",5.75E+07,4.34E+09
KWT,Kuwait," $86,813,730 "," $96,985,552 "," $16,711,435 "," $2,145 "," $91,212,031 "," $58,344,979 "," $350,069,872 ",0.40," $286,780,143,547 ",4.21E+06,1.01E+09
KGZ,Kyrgyzstan," $27,499,293 "," $50,208,821 "," $30,936,737 "," $11,530,229 "," $626,949,181 "," $149,424,852 "," $896,549,114 ",0.33," $36,577,657,853 ",6.03E+06,8.80E+09
LAO,Laos," $143,838,478 "," $94,369,645 "," $12,052,771 "," $126,068,745 "," $394,016,378 "," $154,069,203 "," $924,415,220 ",0.35," $83,250,230,223 ",8.40E+06,5.05E+09
LVA,Latvia," $8,534,588 "," $8,922,465 "," $75,336,410 "," $6,146,704 "," $3,912,051 "," $20,570,444 "," $123,422,662 ",0.56," $57,876,097,909 ",2.06E+06,5.52E+08
LBN,Lebanon," $186,711,302 "," $199,952,767 "," $58,771,684 "," $26,775,262 "," $253,704,213 "," $145,183,046 "," $871,098,273 ",0.59," $110,097,207,143 ",4.87E+06,1.69E+09
LSO,Lesotho," $108,302,595 "," $51,769,510 "," $7,207,766 "," $1,432,364 "," $8,793,897 "," $35,501,226 "," $213,007,359 ",0.40," $13,545,245,800 ",2.30E+06,1.55E+08
LBR,Liberia," $103,789,852 "," $179,466,541 "," $192,884,808 "," $132,876,671 "," $64,482,933 "," $134,700,161 "," $808,200,967 ",0.54," $13,192,376,564 ",6.68E+06,1.25E+09
LBY,Libya," $161,550,309 "," $507,268,895 "," $57,802,699 "," $14,365,990 "," $456,124,595 "," $239,422,497 "," $1,436,534,984 ",0.30," $233,775,852,606 ",7.96E+06,9.58E+09
LIE,Liechtenstein," $297,253 "," $246,841 "," $791,520 "," $82,175 ", $-   ," $283,558 "," $1,701,348 ",1.00," $1,856,000,027 ",3.83E+04,1.12E+06
LTU,Lithuania," $5,900,306 "," $16,239,702 "," $233,070,675 "," $10,970,434 "," $23,036,293 "," $57,843,482 "," $347,060,892 ",0.50," $70,881,460,142 ",2.40E+06,2.00E+09
LUX,Luxembourg," $11,463,514 "," $12,258,406 "," $5,385,163 "," $1,391,386 "," $44,217,100 "," $14,943,114 "," $89,658,683 ",0.99," $59,843,936,227 ",8.37E+05,1.61E+08
MKD,Macedonia," $49,616,365 "," $31,073,589 "," $58,728,222 "," $19,761,577 "," $280,237,291 "," $87,883,409 "," $527,300,452 ",0.35," $43,922,204,932 ",2.48E+06,1.82E+09
MDG,Madagascar," $1,278,532,986 "," $588,577,174 "," $30,903,227 "," $399,321,434 "," $834,588,846 "," $626,384,733 "," $3,758,308,399 ",0.27," $52,993,502,512 ",3.04E+07,2.42E+10
MWI,Malawi," $293,879,893 "," $370,237,247 "," $23,789,038 "," $8,693,884 "," $57,722,132 "," $150,864,439 "," $905,186,632 ",0.31," $49,157,245,590 ",2.47E+07,1.79E+09
MYS,Malaysia," $664,042,669 "," $788,352,187 "," $2,541,613,826 "," $527,654,697 "," $448,010,155 "," $993,934,707 "," $5,963,608,242 ",0.36," $961,801,848,923 ",3.52E+07,2.42E+10
MLI,Mali," $497,201,847 "," $412,328,006 "," $39,600,007 "," $25,520,437 "," $324,069,291 "," $259,743,918 "," $1,558,463,505 ",0.37," $49,409,206,023 ",2.37E+07,1.09E+10
MRT,Mauritania," $171,392,451 "," $155,369,782 "," $9,077,729 "," $7,263,525 "," $4,281,679 "," $69,477,033 "," $416,862,200 ",0.30," $20,488,035,659 ",4.27E+06,1.73E+09
MEX,Mexico," $6,538,832,606 "," $2,695,658,023 "," $913,070,854 "," $1,199,606,932 "," $13,865,623,325 "," $5,042,558,348 "," $30,255,350,088 ",0.54," $2,882,791,952,130 ",1.33E+08,1.30E+11
MDA,Moldova," $17,614,680 "," $16,169,659 "," $86,206,354 "," $12,944,467 "," $134,549,012 "," $53,496,834 "," $320,981,006 ",0.36," $25,707,359,714 ",2.53E+06,1.77E+09
MCO,Monaco," $68,022 "," $39,526 "," $7,752 ", $-   , $-   ," $23,060 "," $138,359 ",1.00," $1,054,047,996 ",2.72E+04,1.04E+05
MNG,Mongolia," $67,808,519 "," $55,346,837 "," $54,097,461 "," $395,941,882 "," $148,229,269 "," $144,284,794 "," $865,708,761 ",0.32," $59,930,234,199 ",3.25E+06,1.33E+09
MAR,Morocco," $1,021,472,895 "," $818,922,489 "," $164,899,442 "," $188,000,514 "," $1,814,120,695 "," $801,483,207 "," $4,808,899,242 ",0.37," $407,821,955,715 ",3.59E+07,2.72E+10
MOZ,Mozambique," $1,025,494,286 "," $883,176,701 "," $65,378,084 "," $425,393,969 "," $130,279,004 "," $505,944,409 "," $3,035,666,452 ",0.44," $82,486,256,833 ",3.09E+07,2.24E+09
MMR,Myanmar," $775,816,090 "," $508,992,172 "," $55,693,088 "," $1,388,926,192 "," $615,725,626 "," $669,030,634 "," $4,014,183,801 ",0.29," $208,756,292,873 ",4.72E+07,1.45E+10
NAM,Namibia," $271,891,496 "," $150,468,503 "," $5,593,670 "," $68,771,870 "," $11,263,762 "," $101,597,860 "," $609,587,161 ",0.46," $36,242,949,705 ",3.35E+06,5.49E+08
NPL,Nepal," $321,662,654 "," $504,679,782 "," $7,828,737 "," $257,701,805 "," $614,155,072 "," $341,205,610 "," $2,047,233,660 ",0.30," $124,320,683,515 ",3.87E+07,1.28E+10
NLD,Netherlands," $101,092,661 "," $156,860,711 "," $3,999,025,545 "," $13,420,471 "," $1,208,459,445 "," $1,095,771,767 "," $6,574,630,600 ",0.90," $924,023,885,337 ",1.97E+07,2.08E+10
NZL,New Zealand," $60,561,114 "," $74,285,104 "," $9,747,169 "," $1,358,443,395 "," $56,786,576 "," $311,964,671 "," $1,871,788,029 ",1.02," $158,292,802,905 ",4.75E+06,2.38E+09
NIC,Nicaragua," $197,580,724 "," $193,826,659 "," $27,299,588 "," $262,783,203 "," $32,508,685 "," $142,799,772 "," $856,798,632 ",0.39," $36,890,679,541 ",6.38E+06,1.22E+09
NER,Niger," $564,499,116 "," $479,170,771 "," $14,035,101 "," $25,366,805 "," $61,117,321 "," $228,837,823 "," $1,373,026,936 ",0.38," $45,742,829,185 ",2.66E+07,3.94E+09
NGA,Nigeria," $6,442,078,239 "," $10,836,596,556 "," $3,313,809,945 "," $286,439,846 "," $2,529,431,433 "," $4,681,671,204 "," $28,090,027,223 ",0.44," $1,271,059,141,890 ",2.38E+08,3.06E+10
PRK,North Korea," $58,013,938 "," $123,357,279 "," $51,000,310 "," $166,084,627 "," $3,377,110 "," $80,366,653 "," $482,199,917 ",1.00," $38,877,869,134 ",2.56E+07,5.69E+07
NOR,Norway," $70,878,128 "," $68,730,854 "," $41,114,998 "," $146,415,591 "," $31,857,261 "," $71,799,366 "," $430,796,199 ",1.21," $299,476,440,874 ",5.14E+06,2.12E+09
OMN,Oman," $73,279,212 "," $35,072,391 "," $1,245,351 "," $848,729 "," $58,251,917 "," $33,739,520 "," $202,437,120 ",0.39," $173,617,098,404 ",4.01E+06,1.18E+09
PAK,Pakistan," $3,950,691,050 "," $3,172,345,323 "," $98,121,405 "," $22,963,977 "," $13,649,391,393 "," $4,178,702,630 "," $25,072,215,779 ",0.29," $1,034,885,462,090 ",2.26E+08,2.70E+11
